gene,value
A1BG,56
A1CF,0
A2M,50797
A2ML1,100772
A3GALT2,17
A4GALT,5599
A4GNT,6
AAAS,9724
AACS,14898
AADAC,744
AADACL2,38
AADACL3,0
AADACL4,0
AADAT,538
AAGAB,8790
AAK1,12488
AAMDC,1349
AAMP,17614
AANAT,16
AAR2,9474
AARD,20
AARS1,17877
AARS2,6243
AARSD1,372
AASDH,2615
AASDHPPT,4948
AASS,3308
AATF,10011
AATK,662
ABAT,2501
ABCA1,13691
ABCA10,596
ABCA12,2699
ABCA13,25877
ABCA2,27236
ABCA3,18554
ABCA4,1026
ABCA5,7013
ABCA6,918
ABCA7,15417
ABCA8,1958
ABCA9,791
ABCB1,1865
ABCB10,3060
ABCB11,61
ABCB4,847
ABCB5,15
ABCB6,153
ABCB7,4630
ABCB8,8832
ABCB9,1753
ABCC1,22117
ABCC10,6890
ABCC11,67
ABCC12,2
ABCC2,262
ABCC3,4440
ABCC4,4754
ABCC5,34911
ABCC6,126
ABCC8,11
ABCC9,1241
ABCD1,4093
ABCD2,664
ABCD3,7175
ABCD4,8522
ABCE1,14281
ABCF1,19362
ABCF2,2907
ABCF2-H2BE1,0
ABCF3,12777
ABCG1,6735
ABCG2,816
ABCG4,218
ABCG5,13
ABCG8,16
ABHD1,46
ABHD10,3883
ABHD11,5257
ABHD12,15607
ABHD12B,3
ABHD13,3741
ABHD14A,583
ABHD14A-ACY1,4
ABHD14B,8853
ABHD15,3732
ABHD16A,486
ABHD16B,1
ABHD17A,22079
ABHD17B,4512
ABHD17C,13447
ABHD18,3264
ABHD2,48181
ABHD3,4086
ABHD4,7311
ABHD5,5288
ABHD6,1984
ABHD8,2307
ABI1,19368
ABI2,5527
ABI3,8438
ABI3BP,13363
ABITRAM,3690
ABL1,20732
ABL2,6113
ABLIM1,57376
ABLIM2,2896
ABLIM3,3386
ABO,5090
ABR,37601
ABRA,32
ABRACL,5161
ABRAXAS1,1966
ABRAXAS2,4489
ABT1,7662
ABTB1,7712
ABTB2,2750
ACAA1,13274
ACAA2,3117
ACACA,15531
ACACB,4570
ACAD10,5497
ACAD11,493
ACAD8,6804
ACAD9,9604
ACADL,216
ACADM,7352
ACADS,4397
ACADSB,5954
ACADVL,70820
ACAN,17
ACAP1,24382
ACAP2,17116
ACAP3,18528
ACAT1,5174
ACAT2,6144
ACBD3,10031
ACBD4,2058
ACBD5,6264
ACBD6,5938
ACBD7,1048
ACCS,2936
ACCSL,0
ACD,3051
ACE,4925
ACE2,88
ACER1,386
ACER2,892
ACER3,5986
ACHE,1832
ACIN1,47641
ACKR1,6611
ACKR2,936
ACKR3,3088
ACKR4,469
ACLY,21922
ACMSD,0
ACO1,7341
ACO2,21986
ACOD1,54
ACOT1,732
ACOT11,4538
ACOT12,1
ACOT13,3286
ACOT2,2353
ACOT4,53
ACOT6,1
ACOT7,8636
ACOT8,3220
ACOT9,5495
ACOX1,16041
ACOX2,652
ACOX3,6768
ACOXL,322
ACP1,9730
ACP2,11861
ACP3,7073
ACP4,0
ACP5,30283
ACP6,3810
ACP7,110
ACR,41
ACRBP,271
ACRV1,4
ACSBG1,87
ACSBG2,3
ACSF2,3819
ACSF3,6568
ACSL1,18997
ACSL3,11136
ACSL4,6291
ACSL5,10095
ACSL6,361
ACSM1,116
ACSM2A,5
ACSM2B,4
ACSM3,721
ACSM4,4
ACSM5,153
ACSM6,0
ACSS1,14768
ACSS2,6523
ACSS3,552
ACTA1,2464
ACTA2,6075
ACTB,863986
ACTBL2,0
ACTC1,104
ACTG1,575151
ACTG2,431
ACTL10,669
ACTL6A,9411
ACTL6B,4
ACTL7A,0
ACTL7B,1
ACTL8,12
ACTL9,2
ACTN1,25004
ACTN2,491
ACTN3,49
ACTN4,90845
ACTR10,8589
ACTR1A,19125
ACTR1B,13917
ACTR2,53934
ACTR3,53812
ACTR3B,1023
ACTR3C,1272
ACTR5,3609
ACTR6,3330
ACTR8,5271
ACTRT1,0
ACTRT2,1
ACTRT3,665
ACVR1,3929
ACVR1B,8502
ACVR1C,811
ACVR2A,3049
ACVR2B,2023
ACVRL1,4842
ACY1,308
ACY3,341
ACYP1,1754
ACYP2,994
ADA,3810
ADA2,27243
ADAD1,0
ADAD2,46
ADAL,1530
ADAM10,15458
ADAM11,303
ADAM12,1537
ADAM15,21190
ADAM17,7316
ADAM18,0
ADAM19,20629
ADAM2,0
ADAM20,16
ADAM21,8
ADAM22,998
ADAM23,5165
ADAM28,14077
ADAM29,23
ADAM30,0
ADAM32,602
ADAM33,1977
ADAM7,11
ADAM8,13086
ADAM9,15517
ADAMDEC1,6382
ADAMTS1,4959
ADAMTS10,2422
ADAMTS12,460
ADAMTS13,1159
ADAMTS14,1327
ADAMTS15,1898
ADAMTS16,9
ADAMTS17,2884
ADAMTS18,9
ADAMTS19,5
ADAMTS2,4535
ADAMTS20,646
ADAMTS3,204
ADAMTS4,2243
ADAMTS5,336
ADAMTS6,509
ADAMTS7,1200
ADAMTS8,161
ADAMTS9,1287
ADAMTSL1,653
ADAMTSL2,512
ADAMTSL3,853
ADAMTSL4,7906
ADAMTSL5,1073
ADAP1,803
ADAP2,2406
ADAR,74493
ADARB1,4586
ADARB2,666
ADAT1,5566
ADAT2,2311
ADAT3,1147
ADCK1,2053
ADCK2,4451
ADCK5,4210
ADCY1,511
ADCY10,48
ADCY2,201
ADCY3,10553
ADCY4,3215
ADCY5,3251
ADCY6,5933
ADCY7,16309
ADCY8,2
ADCY9,6165
ADCYAP1,345
ADCYAP1R1,393
ADD1,38977
ADD2,444
ADD3,18000
ADGB,18
ADGRA1,0
ADGRA2,8390
ADGRA3,4990
ADGRB1,913
ADGRB2,977
ADGRB3,96
ADGRD1,626
ADGRD2,29
ADGRE1,301
ADGRE2,3383
ADGRE3,109
ADGRE5,26549
ADGRF1,6002
ADGRF3,74
ADGRF4,3210
ADGRF5,2504
ADGRG1,18776
ADGRG2,743
ADGRG3,199
ADGRG4,0
ADGRG5,2408
ADGRG6,3290
ADGRG7,77
ADGRL1,6105
ADGRL2,7123
ADGRL3,258
ADGRL4,2807
ADGRV1,2233
ADH1A,149
ADH1B,2273
ADH1C,23340
ADH4,72
ADH5,30731
ADH6,21
ADH7,19046
ADHFE1,581
ADI1,15832
ADIG,0
ADIPOQ,25
ADIPOR1,23015
ADIPOR2,17958
ADIRF,23600
ADK,8200
ADM,10374
ADM2,1825
ADM5,527
ADNP,22432
ADNP2,7459
ADO,5353
ADORA1,259
ADORA2A,110
ADORA2B,1296
ADORA3,96
ADPGK,16156
ADPRH,3021
ADPRHL1,330
ADPRM,1200
ADPRS,7448
ADRA1A,21
ADRA1B,61
ADRA1D,49
ADRA2A,6711
ADRA2B,125
ADRA2C,239
ADRB1,138
ADRB2,4683
ADRB3,22
ADRM1,21675
ADSL,923
ADSS1,2587
ADSS2,10222
ADTRP,1738
AEBP1,21740
AEBP2,8973
AEN,5504
AFAP1,12101
AFAP1L1,2292
AFAP1L2,10411
AFDN,28024
AFF1,19088
AFF2,1384
AFF3,2489
AFF4,26659
AFG1L,670
AFG3L2,17124
AFM,0
AFMID,6006
AFP,1
AFTPH,10943
AGA,4923
AGAP1,4282
AGAP2,5932
AGAP3,12317
AGAP4,1994
AGAP5,125
AGAP6,416
AGAP9,2335
AGBL1,50
AGBL2,461
AGBL3,440
AGBL4,118
AGBL5,2668
AGER,2828
AGFG1,11268
AGFG2,8713
AGGF1,3862
AGK,6027
AGL,5338
AGMAT,858
AGMO,148
